,0
487,0.066404566
488,0.8981184
489,0.87221164
490,0.92404866
491,0.57843655
492,0.6462717
493,0.9537899
494,0.08981247
495,0.13161072
496,0.18813126
497,0.084974155
498,0.11157619
499,0.26493764
500,0.024344403
501,0.39102867
502,0.24828891
503,0.12068923
504,0.5709326
505,0.35815778
506,0.26134562
507,0.09209478
508,0.11449744
509,0.0312731
510,0.15025273
511,0.13634011
512,0.24882513
513,0.050753724
514,0.6395611
515,0.1884745
516,0.36842474
517,0.12151218
518,0.12606755
519,0.124351
520,0.33510932
521,0.9343318
522,0.97824186
523,0.64453214
524,0.6525872
525,0.88796294
526,0.6320002
527,0.94476616
528,0.37953773
529,0.110428244
530,0.41454604
531,0.15301101
532,0.3370189
533,0.40269426
534,0.97667193
535,0.12213501
536,0.1337229
537,0.15639389
538,0.10227428
539,0.28164223
540,0.7772401
541,0.021219702
542,0.16343349
543,0.2964285
544,0.25124833
545,0.5249811
546,0.49261692
547,0.11773306
548,0.14875458
549,0.16482031
550,0.07513491
551,0.19939224
552,0.7030973
553,0.14494225
554,0.20427047
555,0.15060739
556,0.07146382
557,0.29098436
558,0.15847817
559,0.033866197
560,0.5424922
561,0.2995065
562,0.13697265
563,0.08932127
564,0.0812633
565,0.120238066
566,0.32527855
567,0.29818383
568,0.4149688
569,0.2894749
570,0.424938
571,0.09901501
572,0.13461195
573,0.068368234
574,0.10387965
575,0.13900463
576,0.20027564
577,0.5523718
578,0.034866225
579,0.08986177
580,0.25566393
581,0.050773256
582,0.11567989
583,0.16704047
584,0.22625674
585,0.1348374
586,0.09525605
587,0.12587413
588,0.5114483
589,0.6748509
590,0.14373717
591,0.45582432
592,0.09774389
593,0.021260217
594,0.10583439
595,0.07562941
596,0.07996379
597,0.039380245
598,0.22199075
599,0.20875423
600,0.513639
601,0.49570456
602,0.14769228
603,0.089825
604,0.407341
605,0.06251849
606,0.11879819
607,0.22662057
608,0.34380624
609,0.07915028
610,0.12172368
611,0.5389465
612,0.06011908
613,0.16457935
614,0.4662333
615,0.11594349
616,0.066808395
617,0.15180261
618,0.073948
619,0.10861604
620,0.25008723
621,0.10902265
622,0.29118362
623,0.54774684
624,0.79856855
625,0.43765506
626,0.14312461
627,0.6481725
628,0.07677156
629,0.81105983
630,0.10818999
631,0.117191516
632,0.20252973
633,0.05178478
634,0.040961593
635,0.3039487
636,0.15378572
637,0.29458526
638,0.44329247
639,0.51519924
640,0.04297155
641,0.05949003
642,0.08892163
643,0.03434013
644,0.02959725
645,0.03778768
646,0.02765658
647,0.018029077
648,0.2557296
649,0.38188526
650,0.54436594
651,0.29141888
652,0.28018075
653,0.24674432
654,0.2547866
655,0.16441551
656,0.12795287
657,0.1012373
658,0.06413797
659,0.21311343
660,0.08119714
661,0.20324707
662,0.078041784
663,0.3516936
664,0.15484606
665,0.20885397
666,0.17694816
667,0.20387161
668,0.16775064
669,0.2606115
670,0.14826721
671,0.07643979
672,0.12860054
673,0.13498807
674,0.06611789
675,0.19755973
676,0.23113745
677,0.24541561
678,0.18782565
679,0.08658987
680,0.011302005
681,0.031440888
682,0.044936493
683,0.08402685
684,0.049271107
685,0.09505048
686,0.049803376
687,0.021198945
688,0.18134543
689,0.16208749
690,0.12899192
691,0.22887072
692,0.15575142
693,0.0976412
694,0.24425945
695,0.4025819
696,0.9652093
697,0.19279891
698,0.36365873
699,0.25074238
700,0.33157915
701,0.11539467
702,0.42499062
703,0.16820379
704,0.12803929
705,0.09687773
706,0.4254835
707,0.06718452
708,0.04464147
709,0.025875242
710,0.40991455
711,0.09264087
712,0.07815019
713,0.51975405
714,0.19280942
715,0.058239263
716,0.04207585
717,0.036381043
718,0.03976892
719,0.50324047
720,0.46839
721,0.09943753
722,0.37849298
723,0.41945046
724,0.64337367
725,0.9179463
726,0.46705997
727,0.2805004
728,0.74853903
729,0.2393485
730,0.41498706
731,0.5677944
732,0.27628958
733,0.12134871
734,0.025464775
735,0.25765815
736,0.8978255
737,0.32620922
738,0.11278899
739,0.19400057
740,0.26933834
741,0.29551294
742,0.23863402
743,0.2111253
744,0.19081768
745,0.4919662
746,0.21031258
747,0.27740687
748,0.35111982
749,0.09517766
750,0.451962
751,0.4247163
752,0.38559413
753,0.3780263
754,0.22874995
755,0.37886837
756,0.18119255
757,0.4376886
758,0.04886293
759,0.07933633
760,0.048939634
761,0.03880153
762,0.11494355
763,0.043945942
764,0.08626988
765,0.37098423
766,0.28603807
767,0.21334527
768,0.22115484
769,0.14043853
770,0.28767452
771,0.31292972
772,0.20028988
773,0.23609771
774,0.5267701
775,0.4569869
776,0.07161716
777,0.11714221
778,0.15596806
779,0.069002844
780,0.14286113
781,0.15087608
782,0.07772639
