,0
212,0.15183516
213,0.37235457
214,0.95473075
215,0.07617767
216,0.7291232
217,0.5147826
218,0.17293726
219,0.5313572
220,0.14550366
221,0.21163557
222,0.13237105
223,0.20830604
224,0.14484115
225,0.13160422
226,0.35052127
227,0.70259833
228,0.6178807
229,0.61688167
230,0.9815545
231,0.9644711
232,0.59982896
233,0.9638379
234,0.22934653
235,0.8954897
236,0.13258886
237,0.6501613
238,0.6837234
239,0.7950827
240,0.94838536
241,0.5855013
242,0.7376959
243,0.07508989
244,0.13947049
245,0.42614266
246,0.23049912
247,0.32999602
248,0.19876601
249,0.7004155
250,0.31013617
251,0.7535082
252,0.7371804
253,0.33154202
254,0.26009464
255,0.15011317
256,0.7853862
257,0.9790932
258,0.19979547
259,0.7142205
260,0.70574903
261,0.43791908
262,0.44326183
263,0.18300277
264,0.44925597
265,0.90025985
266,0.28005347
267,0.13425453
268,0.2516053
269,0.14190482
270,0.65214354
271,0.94158596
272,0.15802205
273,0.15286565
274,0.77957773
275,0.15992974
276,0.17315722
277,0.5365393
278,0.6456686
279,0.12647764
280,0.89046305
281,0.11193952
282,0.72076136
283,0.470346
284,0.1132996
285,0.43419737
286,0.11600162
287,0.55559224
288,0.66493684
289,0.07287573
290,0.94487244
291,0.20604528
292,0.17552853
293,0.7934393
294,0.120364934
295,0.91638786
296,0.17339881
297,0.21026497
298,0.9380528
299,0.77090776
300,0.6922506
301,0.8454907
302,0.62394375
303,0.85382026
304,0.6509768
305,0.96101207
306,0.9195011
307,0.61963725
308,0.47367606
309,0.78806335
310,0.9513066
311,0.91241944
312,0.6461049
313,0.98639035
314,0.693011
315,0.6770977
316,0.5572434
317,0.39262348
318,0.6582369
319,0.76921505
320,0.91764903
321,0.7694534
322,0.9445292
323,0.7108832
324,0.9046836
325,0.41340485
326,0.74267983
327,0.9722552
328,0.90477
329,0.6420293
330,0.8516808
331,0.8828931
332,0.7385239
333,0.4511284
334,0.57096595
335,0.61030746
336,0.7057063
337,0.97142047
338,0.93915874
339,0.54175025
340,0.48583356
341,0.8242239
342,0.8366585
343,0.8431316
344,0.68142605
345,0.55270404
346,0.88038117
347,0.72020686
348,0.67148334
349,0.91420233
350,0.8997814
351,0.98196685
352,0.5075126
353,0.8765946
354,0.97448593
355,0.7814136
356,0.55178756
357,0.9076707
358,0.77933824
359,0.8616894
360,0.82362354
361,0.8977758
362,0.8512941
363,0.96739644
364,0.56536824
365,0.9474697
366,0.98008144
367,0.6296616
368,0.4261731
369,0.9003763
370,0.9798697
371,0.98102206
372,0.7489093
373,0.9514837
374,0.731236
375,0.66268593
376,0.9776068
377,0.6044915
378,0.9716583
379,0.5374933
380,0.760127
381,0.9678366
382,0.9176339
383,0.96995544
384,0.97520417
385,0.79449326
386,0.8997814
387,0.46135524
388,0.96587825
389,0.3219458
390,0.3841831
391,0.6483301
392,0.6097639
393,0.7996271
394,0.9665972
395,0.6857418
396,0.7022403
397,0.61440164
398,0.4728766
399,0.9829842
400,0.9628972
401,0.9093299
402,0.8606316
403,0.8866137
404,0.890251
405,0.27385715
406,0.89261514
407,0.5537453
408,0.7072905
409,0.736208
410,0.7580562
411,0.73342776
412,0.8483611
413,0.8566565
414,0.8700226
415,0.9670774
416,0.91684586
417,0.71403235
418,0.8382109
419,0.90115726
420,0.98663694
421,0.9743119
422,0.8701295
423,0.7367542
424,0.86538553
425,0.94123465
426,0.9595315
427,0.37901524
428,0.8848567
429,0.74003637
430,0.6918841
431,0.8946957
432,0.88557607
433,0.62270266
434,0.7993074
435,0.64623797
436,0.7970742
437,0.96656793
438,0.8018489
439,0.64259666
440,0.95328176
441,0.76821476
442,0.85995364
443,0.8625315
444,0.68067956
445,0.7738095
446,0.97277474
447,0.7579535
448,0.72686195
449,0.60116965
450,0.90491086
451,0.7786693
452,0.5149107
453,0.9715124
454,0.86000234
455,0.6735761
456,0.8096613
457,0.82507306
458,0.53752565
459,0.8169405
460,0.8888468
461,0.71155304
462,0.84773797
463,0.9770264
464,0.8605993
465,0.86972255
466,0.61970526
467,0.97367316
468,0.959591
469,0.7742047
470,0.8653672
471,0.45509136
472,0.97450024
473,0.5017332
474,0.7737957
475,0.91926295
476,0.49630174
477,0.271937
478,0.47927088
479,0.6081035
480,0.69878256
481,0.48004216
482,0.9745646
483,0.36663258
484,0.79836035
